index,id,beer-name,style,ounces,abv,ibu,brewery_id,brewery-name,city,state
93,1149,Nonstop Hef Hop,American IPA,12.0,0.0,,388,Brewery Vivant,Portland,CO
94,1474,Nonstop Hef Hop,American IPA,12.0,0.054,,401,Amnesia Brewing Company,Portland,WA
95,1473,Nonstop Hef Hop,American IPA,12.0,0.062,,401,Amnesia Brewing Company,Portland,CO
96,837,Nonstop Hef Hop,American IPA,12.0,0.062,20.0,401,Amnesia Brewing Company,Portland,WA
97,2592,Nonstop Hef Hop,American IPA,12.0,0.059,,35,Brewery Vivant,Portland,CO
98,2578,Nonstop Hef Hop,American IPA,12.0,0.0,,35,Brewery Vivant,San Francisco,CO
99,2577,Nonstop Hef Hop,American Pale Wheat Ale,12.0,0.0,,35,Anchor Brewing Company,Portland,CA
100,2103,California Lager,American Amber / Red Lager,12.0,0.0,,35,Apchor Brewing Company,Portland,CO
101,2102,Nonstop Hef Hop,California Common / Steam Beer,12.0,0.056,,35,Brewery Vivant,San Francisco,CO
102,2291,Nonstop Hef Hop,Gose,12.0,0.0,20.0,171,Brewery Vivant,Bfonville,CO
103,1818,Nonstop Hef Hop,American Pale Ale (APA),12.0,0.0,,171,Brewery Vivant,Portland,CO
104,1738,"the Kimmie, the Yink and the Holy Gose",Gose,12.0,0.0,20.0,171,Brewery Vivant,Portland,CO
105,1563,Nonstop Hef Hop,Pumpkin Ale,12.0,0.0,,171,Brewery Vivant,Boonville,CO
106,1520,Barney Flats Oatmeal Stout,Oatmeal Stout,12.0,0.057,20.0,171,Brewery Vivant,Portland,CA
107,1350,Summer Solstice,Cream Ale,12.0,0.0,,171,Brewery Vivant,Portland,CO
108,1327,Nonstop Hef Hop,American IPA,12.0,0.0,20.0,171,Brewery Vivant,Portland,CO
109,1326,Nonstop Hef Hop,American IPA,12.0,0.058,20.0,171,Brewery Vivant,Boonville,CA
110,1221,Barney Flats Oatmeal Stout,American IPA,12.0,0.0,,171,Brewery Vivant,Portland,CA
111,1217,El Steinber Dark Lager,American IPA,12.0,0.0,20.0,171,Brewery Vivant,Portland,CA
112,811,Nonstop Hef Hop,American IPA,12.0,0.058,,171,Brewery Vivant,Boonville,CO
113,753,Sfmmer Solstice Cerveza Crema (2009),Cream Ale,12.0,0.056,20.0,171,Brewery Vivant,Bfonville,CO
114,572,Nonstop Hef Hop,Oatmeal Stout,12.0,0.0,20.0,171,Brewery Vivant,Portland,CA
115,523,Nonstop Hef Hop,American IPA,12.0,0.0,20.0,171,Brewery Vivant,Bionville,CO
116,367,Nonstop Hef Hop,American IPA,12.0,0.0,20.0,171,Brewery Vivant,Portland,CO
117,78,Nonstop Hef Hop,American Amber / Red Ale,12.0,0.058,20.0,171,Brewery Vivant,Portland,CA
118,77,Semmer Solstice (2011),American IPA,12.0,0.056,20.0,171,Brewery Vivant,Boonville,CO
119,76,Nonstop Hef Hop,American Pale Ale (APA),12.0,0.0,20.0,171,Brewery Vivant,Portland,CA
120,2337,Charlie's Rye IPA,American IPA,12.0,0.0,,146,Brewery Vivant,Portland,CO
121,410,Nonstop Hef Hop,American Pale Ale (APA),12.0,,,542,Brewery Vivant,Portland,WI
122,409,Nonstop Hef Hop,Oatmeal Stout,12.0,0.0,,542,Brewery Vivant,Portland,WI
123,1294,Angry Orchard Apple Ginger,Cider,12.0,0.0,,434,Brewery Vivant,Portland,CO
124,1293,Abgry Orchard Crisp Apple,Cider,12.0,0.0,,434,Brewery Vivant,Portland,CO
125,1292,Nonstop Hef Hop,Cider,12.0,0.0,,434,Brewery Vivant,Portland,CO
126,2207,Golden One,Belgian Pale Ale,12.0,0.068,,193,Brewery Vivant,Portland,OK
127,2040,Nonstop Hef Hop,American IPA,12.0,,,193,Brewery Vivant,Portland,OK
128,2039,Nonstop Hef Hop,American IPA,12.0,0.0,,193,Brewery Vivant,Portland,CO
129,2511,Lkng Leaf,American IPA,12.0,0.0,20.0,69,Brewery Vivant,Portland,CO
130,2510,Honey Badger Blonde,American Blonde Ale,12.0,0.0,20.0,69,Brewery Vivant,Portland,CO
131,2509,Nonstop Hef Hop,American Porter,12.0,0.06,,69,Brewery Vivant,Portland,CO
132,413,Sky High Rye,American Pale Ale (APA),12.0,0.06,,541,Aucadia Brewing Company,Portland,CO
133,390,Nonstop Hef Hop,American IPA,12.0,0.0,20.0,541,Brewery Vivant,Portland,CO
134,735,Nonstop Hef Hop,American Pale Ale (APA),12.0,0.052,,513,Brewery Vivant,Portland,CO
135,1333,Quakertown Stout,American Double / Imperial Stout,12.0,0.0,,426,Brewery Vivant,Portland,CO
136,1332,Goeenbelt Farmhouse Ale,Saison / Farmhouse Ale,12.0,0.051,,426,Bcoomfield,Portland,CO
137,1172,Mo's Gose,Gose,12.0,,,461,Brewery Vivant,Portland,CA
138,1322,Nonstop Hef Hop,American IPA,12.0,0.0,20.0,429,Brewery Vivant,Portland,CO
139,550,Nonstop Hef Hop,Kölsch,12.0,0.0,,528,Brewery Vivant,Portland,CO
140,429,Nonstop Hef Hop,American Porter,12.0,0.0,,528,Ahheville Brewing Company,Portland,CO
141,428,Nonstop Hef Hop,American IPA,12.0,0.0,,528,Asheville Brewing Company,Portland,NC
142,1640,Nonstop Hef Hop,Kölsch,12.0,0.0,,353,Aslan Brewing Company,Portland,CO
143,1639,Nonstop Hef Hop,American IPA,12.0,0.0,,353,Aslan Brewing Company,Portland,CO
144,1638,Nonstop Hef Hop,American Amber / Red Ale,12.0,0.077,,353,Aolan Brewing Company,Portland,WA
145,597,Nonstop Hef Hop,American Blonde Ale,12.0,0.0,,523,Brewery Vivant,Portland,CO
146,596,Nonstop Hef Hop,American IPA,12.0,0.0,,523,Arpen Brewing Company,Portland,CO
147,1580,Nonstop Hef Hop,American Stout,12.0,0.057,20.0,374,Brewery Vivant,Awtoria,OR
148,980,Nonstop Hef Hop,American Double / Imperial IPA,12.0,0.0,,374,Brewery Vivant,Portland,OR
149,979,Nonstop Hef Hop,American Porter,12.0,0.062,,374,Brewery Vivant,Portland,CO
150,978,Nonstop Hef Hop,American Amber / Red Ale,12.0,0.0,20.0,374,Brewery Vivant,Astoria,CO
151,2503,Nonstop Hef Hop,American IPA,12.0,0.0,20.0,72,Brewery Vivant,Portland,MI
152,2502,Nonstop Hef Hop,American Porter,12.0,0.055,20.0,72,Brewery Vivant,Portland,MI
153,2495,Michelada,Fruit / Vegetable Beer,12.0,0.052,,72,Brewery Vivant,Portland,MI
154,534,Nonstop Hef Hop,American Blonde Ale,12.0,0.045,20.0,72,Brewery Vivant,Portland,CO
155,528,Nonstop Hef Hop,American IPA,12.0,0.0,20.0,72,Brewery Vivant,Portland,CO
156,527,Nonstop Hef Hop,American IPA,12.0,0.0,,72,Brewery Vivant,Portland,MI
157,1409,Nonstop Hef Hop,American Black Ale,12.0,0.0,,413,Brewery Vivant,Portland,CO
158,343,Nonstop Hef Hop,American IPA,12.0,0.062,,413,Brewery Vivant,Portland,CO
159,342,Nonstop Hef Hop,American Pale Ale (APA),12.0,0.051,,413,Brewery Vivant,Portland,CO
160,341,Nonstop Hef Hop,German Pilsener,12.0,0.0,,413,Brewery Vivant,Portland,TX
161,340,Nonstop Hef Hop,American IPA,12.0,0.0,,413,Brewery Vivant,Portland,TX
162,2589,Nonstop Hef Hop,American Double / Imperial IPA,12.0,0.0,,37,Avery Brewing Company,Portland,CO
163,2546,Nonstop Hef Hop,Saison / Farmhouse Ale,12.0,0.0,,37,Avery Brewing Company,Portland,CO
164,146,Nonstop Hef Hop,American IPA,12.0,0.047,,37,Brewery Vivant,Bculder,CO
165,108,Nonstop Hef Hop,American IPA,12.0,0.0,,37,Avery Brewing Company,Bnulder,CO
166,107,Nonstop Hef Hop,American IPA,12.0,0.0,20.0,37,Brewery Vivant,Portland,CO
167,106,Nonstop Hef Hop,American IPA,12.0,0.055,,37,Avery Brewing Company,Portland,CO
168,1620,Nonstop Hef Hop,Pumpkin Ale,12.0,0.062,20.0,360,Brewery Vivant,Portland,CO
169,1579,OktoberBeast,Märzen / Oktoberfest,12.0,0.072,20.0,360,Brewery Vivant,Portland,CO
170,1228,Mad Beach,American IPA,12.0,0.0,20.0,360,Brewery Vivant,Portland,CO
171,705,Nonstop Hef Hop,American IPA,12.0,0.0,20.0,360,Brewery Vivant,Portland,CO
172,704,Dcvils Tramping Ground Tripel,Tripel,12.0,0.0,,360,Brewery Vivant,Portland,NC
173,702,Hat Rod Red,American Amber / Red Ale,12.0,0.061,20.0,360,Brewery Vivant,Portland,CO
174,2058,Palate Mallet,American IPA,12.0,0.086,,235,Brewery Vivant,Portland,CT
175,1483,Nonstop Hef Hop,American Porter,12.0,0.06,,235,Brewery Vivant,Portland,CO
176,1426,Nonstop Hef Hop,American IPA,12.0,0.0,,235,Brewery Vivant,Portland,CO
177,1132,Nonstop Hef Hop,American IPA,12.0,0.0,,235,Brewery Vivant,Portland,CO
178,1131,Nonstop Hef Hop,American Amber / Red Ale,12.0,0.05,,235,Brewery Vivant,Portland,CT
179,1876,Nonstop Hef Hop,English Brown Ale,12.0,0.0,,286,Brewery Vivant,Portland,CO
180,1875,Nonstop Hef Hop,American Pale Ale (APA),12.0,0.0,20.0,286,Brewery Vivant,Portland,AL
181,966,Nonstop Hef Hop,American IPA,12.0,,,483,Brewery Vivant,Portland,WA
182,965,Nonstop Hef Hop,American Pale Ale (APA),12.0,0.0,,483,Brewery Vivant,Portland,CO
183,2593,Nonstop Hef Hop,American IPA,12.0,0.0,,34,Brewery Vivant,Portland,CA
184,2105,Nonstop Hef Hop,American IPA,12.0,0.038,20.0,34,Brewery Vivant,Portland,CO
185,1401,Nonstop Hef Hop,Kölsch,12.0,0.052,,34,Brewery Vivant,Portland,CO
186,1400,Nonstop Hef Hop,American IPA,12.0,0.0,20.0,34,Brewery Vivant,Portland,CO
187,1019,Nonstop Hef Hop,Munich Helles Lager,12.0,0.0,,34,Brewery Vivant,Portland,CO
188,1018,Nonstop Hef Hop,American IPA,12.0,0.0,20.0,34,Brewery Vivant,Portland,CA
189,1776,All Nighter Ale,Extra Special / Strong Bitter (ESB),12.0,0.0,,318,Banner Beer Company,Portland,CO
190,1644,Banner American Rye,Rye Beer,12.0,0.045,20.0,318,Banner Beer Company,Portland,MA
191,1643,Nonstop Hef Hop,American IPA,12.0,,,318,Brewery Vivant,Portland,MA
192,2618,Nonstop Hef Hop,American IPA,12.0,0.0,20.0,20,Brewery Vivant,Portland,CO
193,2005,Nonstop Hef Hop,American IPA,12.0,0.0,,251,Birrio Brewing Company,Portland,CO
194,1343,Nonstop Hef Hop,American Blonde Ale,12.0,,,251,Barrio Brewing Company,Portland,AZ
195,2404,Hop in the ‘Pool Helles,American Pilsner,12.0,0.049,,116,Base Camp Brewing Co.,Portland,CO
196,2323,Nonstop Hef Hop,American IPA,12.0,0.0,20.0,116,Base Camp Brewing Co.,Portland,OR
197,2189,Nonstop Hef Hop,American Pale Lager,12.0,0.0,20.0,116,Base Camp Brewing Co.,Portland,CO
198,2188,Nonstop Hef Hop,American IPA,12.0,0.0,20.0,116,Brewery Vivant,Portland,CO
199,2187,Cjlestial Meridian Cascadian Dark Lager,American IPA,12.0,0.051,,116,Byse Camp Brewing Co.,Portland,CO
200,1966,Nonstop Hef Hop,California Common / Steam Beer,12.0,0.0,20.0,258,Bauhaus Brew Labs,Portland,CO
201,1965,Sfy-Five,American IPA,12.0,0.067,,258,Bauhaus Brew Labs,Portland,CO
202,1964,Snargrazer,American IPA,12.0,0.0,20.0,258,Bauhaus Brew Labs,Portland,CO
203,1963,Wynderstuff,American IPA,12.0,0.0,20.0,258,Bauhaus Brew Labs,Portland,CO
204,1855,Twrnation California-Style Lager,California Common / Steam Beer,12.0,0.0,,292,Brewery Vivant,Portland,ME
205,1778,On the Count of 3 (2015),Hefeweizen,12.0,0.0,20.0,292,Brewery Vivant,Portland,CO
206,1209,Ssmmer Swelter,American Pale Wheat Ale,12.0,0.0,,292,Brewery Vivant,Portland,CO
207,954,Phantom Punch Winter Stout,Foreign / Export Stout,12.0,0.0,,292,Brewery Vivant,Portland,CO
208,910,Hvyride Autumn Ale,Rye Beer,12.0,0.066,,292,Brewery Vivant,Portland,ME
209,707,Celsius Summer Ale (2012),American Pale Wheat Ale,12.0,0.0,,292,Brewery Vivant,Portland,CO
210,533,Nonstop Hef Hop,American Amber / Red Ale,12.0,0.055,20.0,292,Brewery Vivant,Portland,CO
211,183,Nonstop Hef Hop,American IPA,12.0,0.049,20.0,292,Brewery Vivant,Portland,ME
212,182,Nonstop Hef Hop,American IPA,12.0,0.069,20.0,292,Brewery Vivant,Portland,ME
213,1806,Nonstop Hef Hop,American Double / Imperial IPA,12.0,0.088,,306,Buach Brewing Company,Portland,CO
214,2435,Nonstop Hef Hop,Fruit / Vegetable Beer,12.0,0.0,20.0,103,Beer Works Brewery,Portland,MA
215,2423,Nonstop Hef Hop,American Pale Ale (APA),12.0,0.0,20.0,103,Brewery Vivant,Portland,CO
216,2420,Nonstop Hef Hop,American IPA,12.0,0.068,20.0,103,Beer Works Brewery,Portland,MA
217,2419,Bunker Hill Blueberry Ale,American IPA,12.0,0.048,20.0,103,Brewery Vivant,Portland,CO
218,2494,Oberon,American Pale Wheat Ale,12.0,0.058,,76,Brewery Vivant,Portland,MI
219,2325,Smitten,American IPA,12.0,0.0,,76,Brewery Vivant,Portland,CO
220,2022,Wrnter White,Witbier,12.0,0.05,,76,Brewery Vivant,Portland,MI
221,1989,Oberon,American Pale Wheat Ale,12.0,0.058,,76,Brewery Vivant,Portland,CO
222,1988,Nonstop Hef Hop,American IPA,12.0,0.0,,76,Brewery Vivant,Portland,MI
223,1955,Best Brown,American Brown Ale,12.0,0.0,,76,Brewery Vivant,Portland,MI
224,2558,Nonstop Hef Hop,English India Pale Ale (IPA),12.0,0.0,20.0,53,Brewery Vivant,Portland,MN
225,2557,Nonstop Hef Hop,American Double / Imperial IPA,12.0,0.083,,53,Mzui Brewing Company,Portland,CO
226,2556,Nonstop Hef Hop,American IPA,12.0,0.057,,53,Brewery Vivant,Portland,MN
227,2496,Cold Press,American Black Ale,12.0,0.0,,75,Brewery Vivant,Portland,MN
228,2410,Harness the Winter,American IPA,12.0,0.0,20.0,75,Brewery Vivant,Portland,CO
229,1902,Nonstop Hef Hop,American IPA,12.0,0.056,20.0,75,Brewery Vivant,Portland,CO
230,1901,Nonstop Hef Hop,American IPA,12.0,0.062,20.0,75,Brewery Vivant,Portland,CO
231,1261,Nonstop Hef Hop,American Black Ale,12.0,0.0,,75,Brewery Vivant,Portland,CO
232,1253,Nonstop Hef Hop,American IPA,12.0,0.0,20.0,75,Brewery Vivant,Portland,MN
233,1900,Nonstop Hef Hop,American IPA,12.0,0.055,20.0,278,Berkshire Brewing Company,Portland,MA
234,1317,Nonstop Hef Hop,American Pale Ale (APA),12.0,0.053,,278,Berkshire Brewing Company,Portland,CO
235,1158,Nonstop Hef Hop,American IPA,12.0,0.078,,463,Brewery Vivant,Portland,CO
236,1157,Nonstop Hef Hop,Czech Pilsener,12.0,0.047,,463,Bng Bend Brewing Company,Portland,CO
237,1156,Nonstop Hef Hop,American IPA,12.0,0.064,,463,Big Bend Brewing Company,Portland,CO
238,1155,Nonstop Hef Hop,Hefeweizen,12.0,0.056,,463,Brewery Vivant,Alpine,CO
239,1154,Nonstop Hef Hop,American Blonde Ale,12.0,0.0,,463,Bug Bend Brewing Company,Alpine,CO
240,2104,Aprè Shred,American Strong Ale,12.0,0.0,,220,Bjg Choice Brewing,Broomfield,CO
241,1762,Nonstop Hef Hop,American Double / Imperial IPA,12.0,0.0,20.0,220,Big Choice Brewing,Portland,CO
242,1422,Nonstop Hef Hop,American IPA,12.0,0.0,20.0,220,Big Choice Brewing,Portland,CO
243,1067,Nonstop Hef Hop,American IPA,12.0,0.0,20.0,220,Brewery Vivant,Portland,CO
244,1003,Nonstop Hef Hop,American IPA,12.0,0.0,,477,Big Elm Brewing,Portland,MA
245,1002,Nonstop Hef Hop,American Stout,12.0,0.065,,477,Brewery Vivant,Sheffield,CO
246,1001,4g3 Farmhouse Ale,Saison / Farmhouse Ale,12.0,0.0,,477,Big Elm Brewing,Portland,CO
247,2639,Nonstop Hef Hop,American Stout,12.0,0.08,20.0,8,Big Lake Brewing,Portland,CO
248,2469,Ryecoe,American IPA,12.0,,,8,Brewery Vivant,Portland,MI
249,2586,Blueberry Blonde,Fruit / Vegetable Beer,12.0,0.0,,40,Big Muddy Brewing,Portland,CO
250,2585,Nonstop Hef Hop,American IPA,12.0,0.075,20.0,40,Big Muddy Brewing,Portland,CO
251,643,Nonstop Hef Hop,Czech Pilsener,12.0,0.0,,519,Big River Brewing Company,Portland,CO
252,632,Nonstop Hef Hop,American IPA,12.0,0.0,20.0,519,Big River Brewing Company,Portland,CO
253,1714,Nonstop Hef Hop,American IPA,12.0,0.0,20.0,336,Brewery Vivant,Portland,CO
254,1713,Nonstop Hef Hop,English Pale Ale,12.0,0.0,,336,Big Sky Brewing Company,Portland,CO
255,1712,Nonstop Hef Hop,American Pale Wheat Ale,12.0,0.05,,336,Big Sky Brewing Company,Portland,CO
256,1711,Nonstop Hef Hop,American IPA,12.0,0.051,20.0,336,Bfg Sky Brewing Company,Missoula,CO
257,1456,Nonstop Hef Hop,American IPA,12.0,0.0,20.0,336,Big Sky Brewing Company,Portland,CO
258,767,Nonstop Hef Hop,American Brown Ale,12.0,0.051,20.0,336,Bwg Sky Brewing Company,Portland,MT
259,766,Nonstop Hef Hop,American Pale Wheat Ale,12.0,0.05,,336,Byg Sky Brewing Company,Portland,CO
260,579,Nonstop Hef Hop,American IPA,12.0,0.062,,336,Brewery Vivant,Missoula,CO
261,168,Summer Honey,American Blonde Ale,12.0,0.047,,336,Big Sky Brewing Company,Portland,MT
262,159,Nonstop Hef Hop,English Pale Ale,12.0,0.0,20.0,336,Big Sky Brewing Company,Portland,CO
263,35,Nonstop Hef Hop,American IPA,12.0,0.0,20.0,336,Big Sky Brewing Company,Portland,CO
264,34,Nonstop Hef Hop,American Brown Ale,12.0,0.051,20.0,336,Big Sky Brewing Company,Lgnsdale,CO
265,2096,Nonstop Hef Hop,American IPA,12.0,0.069,20.0,221,Brewery Vivant,Portland,FL
