ID,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
46,wunderground,AA-1165-JFK-MIA,6:59 a.m.,nan,nan,10:04 a.m.
47,nan,AA-1221-MCO-ORD,nan,8:23 p.m.,nan,9:53 p.m.
48,airtravelcenter,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,nan
49,allegiantair,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
50,nan,AA-1221-MCO-ORD,8:00 p.m.,#8:23 p.m.,9:45 p.m.,9:53 p.m.
51,businesstravellogue,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
52,flightarrival,nan,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
53,flightaware,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,nan,9:53 p.m.
54,flightexplorer,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
55,flights,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
56,flightstats,nan,8:00 p.m.,nan,9:45 p.#m.,nan
57,flig#htview,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
58,flylouisville,AA-1221-MCO-ORD,8:00 p.m.,nan,nan,9:53 p.m.
59,flytecomm,AA-1221-MCO-ORD,nan,nan,nan,9:53 p.m.
60,foxbusiness,nan,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
61,gofox,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
62,helloflight,AA-1221-MCO-ORD,nan,8:23 p.m.,9:45 p.m.,nan
63,@@mco,AA-1221-MCO-ORD,8:00 p.m.,8:@@23 p.m.,nan,9:53 p.m.
64,myrateplan,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
65,mytripandmore,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,nan,9:53 p.m.
66,orbitz,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
67,ord,AA-1221-MCO-ORD,nan,8:23 p.m.,9:45 p.m.,9:53 p.m.
68,panynj,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
69,quicktrip,AA-1221-MCO-ORD,8:00 p.m.,nan,9:45 p.m.,9:5%%3 p.m.
70,travelocity,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
71,usatoday,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
72,weather,AA-122#1-@@MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
73,world-flight-tracker,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
74,wunderground,AA-1221-MCO#-ORD,nan,nan,9:45 p.m.,9:53 p.m.
75,aa,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
76,airtravelcenter,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
77,allegiantair,nan,1:00 p.m.,2:04 p.m.,nan,3:30 p.m.
78,boston,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
79,businesstravellogue,nan,1:00 p.m.,2:04 p.m.,2%:35 p.m.,3:30 p.m.
80,dfw,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,nan,3:30 p.m.
81,flightarrival,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
82,flightaware,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
83,nan,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,nan,3:30 p.m.
84,flights,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
85,flightstats,AA-1279-DFW-PHX,nan,2:04 p.m.,2:35 p.m.,3:30 p.m.
86,flightview,AA-1279-DFW-PHX,nan,2:04 p.m.,2:35 p.m.,nan
87,flylouisville,nan,nan,2:04 p.m.,2:35 p.m.,3:30 p.m.
88,flytecomm,nan,1:00 p.m.,2:04 p.m.,nan,nan
89,foxbusiness,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
90,gofox,AA-1279-DFW-PHX,1:00 p.m.,@@2:04 p.m#.,2:35 p.m.,3:30 p.m.
91,helloflight,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
92,nan,A$A-1279-$DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
93,orbitz,A@@A-1279-DFW-PH@@X,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
94,nan,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,nan,3:30 p.m.
95,quicktrip,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
96,travelocity,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
97,w@@eath@@er,AA-1279-DFW-PHX,1:00 p.m.,2:0??4 p.m.,2:35 p.m.,3:30 ??p.m.
98,world-flight-tracker,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
99,wunderground,AA-1279-DF$W-P$HX,1:00 p.m.,2:04 p.m.,2:35 p.m.,nan
100,aa,AA-1434-DFW-MCO,7:15 a.m.,nan,$10:35 a.$m.,10:36 a.m.
101,airtravelcenter,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,nan,10:36 a.m.
102,allegiantair,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
103,boston,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
104,businesstrav$ellogue,nan,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
105,nan,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,nan,10:36 a.m.
106,flightexplorer,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,10:35 a.m.,#10:36 a.m.
107,nan,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
108,flightstats,AA-1434-DFW-MCO,nan,7:21 a.m.,nan,10:36 a.m.
109,nan,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
110,flightwise,AA-1434-DFW-MCO,??$7:15 a.m.,7:21 a.m.,10:35 a.m.,nan
111,flylouisville,nan,7:15 a.m.,7:21 a.m.,10:35 a.m.,nan
112,flytecomm,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
113,foxbusiness,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,10:35 a.m.,nan
114,gofox,AA-1434-DFW-MCO,7:15 a.m.,nan,10:35 a.m.,nan
115,hellofli??ght,AA-1434-DFW#-MCO$,7:15 a.m.,7:2#@@1 a.m.,10:35 a.m.,10:36 a.m.
116,nan,nan,7:15 a.m.,nan,10:35 a.m.,10:36 a.m.
117,mco,AA-1434-DFW-MCO,nan,7:21 a.m.,10:35 a.m.,10:36 a.m.
118,myrateplan,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,10:#35 %a.m.,10:36 a.m.
119,orbitz,nan,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
120,panynj,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,nan,10:36 a.m.
121,quicktrip,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,nan,10:36 a.m.
122,nan,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,nan,nan
123,weather,AA-1434-DFW-MCO,7:15 a.m.,7:21 a$.m$.,10:35 a.m.,10:36 a.m.
124,world-flight-tracker,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
125,wunderground,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
126,aa,AA@@-1522-S#FO-ORD,11:55 p.m.,11:55 p.m.,5:50 a.m.,nan
127,airtravelcenter,#AA-152??2-SFO-ORD,11:55 p.m.,11:55 p.m.,nan,5:50 a.m.
128,allegiantair,AA-1522-SFO-ORD,nan,nan,5:50 a.m.,5:50 a.m.
129,boston,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m.,5:50 a.m.,5:50 a%.m.
130,nan,nan,11:55 p.m.,%11:5??5 p.m.,5:50 a.m.,5:50 a.m.
131,nan,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m.,5:50 a.m.,5:50 a.m.
132,flights,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m.,5:50 a.m.,5:50 a.m.
133,flightstats,A$A-1522-SF%O-ORD,11:55 p.m.,11:55 p.m.,@@??5:50 a.m.,5:50 a.m.
134,flightview,AA-1522$-SFO-ORD@@,11:55 p.m.,11:55 p.m.,nan,5:50 a.m.
135,flylouisville,nan,11:55 p.m.,11:55 p.m.,5:50 a.m.,5:50 a.m.
136,flytecomm,AA-1522-SFO-ORD,11:55 p.m.,nan,nan,nan
137,foxbusiness,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m.,nan,5:5$0 a.m.
138,nan,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m.,5:50 a.m.,5:50 a.m.
139,helloflight,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m.,5:50 a.m.,5:50 a.m.
140,myrateplan,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m.,5:50 a.m.,5:50 a.m.
141,orbitz,nan,11:55 p.m.,11:55 p.m.,5:50 a.m.,5:50 a.m.
142,ord,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m.,nan,5:50 a.m.
143,%panynj#,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m.,5:50 a.m.,nan
144,quicktrip,AA-1522-SFO-ORD,nan,11:55 p.m.,nan,nan
145,travelocity,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m@@.,5:50 a.m.,5:50 a.m.
146,usatoday,nan,11:55 p.m.,11:55 p.m.,5:50 a.m.,5:50 a.m.
147,weather,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m.,5:50 a.m.,nan
148,world-flight-tracker,AA-#1522-SFO-ORD,11:55 p.m.,11:55 p.m.,5:50 a.m.,5:50 a.m.
149,aa,AA-1544-SAN-ORD,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
150,nan,nan,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
151,allegiantair,AA-1544-SAN-ORD,nan,11:40 a.m.,5:25 p.m.,4:56 p.m.
152,boston,AA-1544-SAN-ORD,nan,11:40 a.m.,5:25 p.m.,nan
153,businesstravellogue,AA-1544-SAN-ORD,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
154,flightarrival,AA-1544-SAN-ORD,11:25 a.m.,11:40 a.m.,5:25 p.m.,nan
155,flightexplorer,AA-1544-SAN-ORD,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
156,flights,AA-1544-SAN-ORD,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
157,nan,AA-1544-SAN-ORD,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56# p%.m.
158,flylouisville,AA-1544-SAN-ORD,nan,11:40 a.m.,nan,4:56 p.m.
159,flytec$omm,AA-1544-SAN-ORD,11:25 a.m.,nan,5:25 p.m.,4:56 p.m.
160,foxbusiness,AA-1544-SAN-ORD,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
161,gofox,AA-1544-SAN-ORD,11:25 a.m$.,11:40 a.m.,5:25 p.m.,4:56 p.m.
162,helloflight,AA-1544-SAN-ORD,nan,11:40$ a.m@@.,nan,4:56 p.m.
163,myrateplan,AA-1544-SAN-ORD,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
164,mytripandmore,nan,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
165,orbitz,nan,1@@1:25 a.$m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
166,ord,AA-1544-SAN-ORD,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
167,panynj,AA-1544-SAN-ORD,11:25 a.m.,nan,5:25 p.m.,4:56 p.m.
168,travelocity,AA-1544-SAN-ORD,11:25 a.$m$.,11:40 a.m.,5@@:25 p.m%.,4:56 p.m%.$
169,usatoday,AA-1544-SAN-ORD,11@@$:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
170,weather,AA-1544-SAN-ORD,nan,11:40 a.m.,5:25 p.m.,$4:5#6 p.m.
171,a??a,AA-1640-MIA-MCO,nan,6:30 p.m.,7:25 p.m.,7:25 p.m.
172,airtravelcenter,AA-1640-MIA-MCO,6:30 p.m.,nan,7:25 p.m.,7:25 p.m.
173,allegiantair,nan,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
174,boston,AA-1640-MIA-MCO,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
175,businesstravell$ogue,AA-1640-MIA-MCO,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
176,flightarrival,nan,nan,nan,7:25 p.m.,7:25 p.m.
177,flightaware,AA-1640-MIA-MCO,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
178,flightexplorer,AA-1640-@@MIA-MCO,6:30 p.m.,6:30 p.m.,nan,7:25 p.m.
179,flights,AA-1640-MIA-MCO,6:30 p.m.,@@6:30 @@p.m.,7:25 p.m.,7:25 p.m.
180,flightstats,AA-1640-MIA-MCO,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
181,flightview,AA-1640-MIA-MCO,nan,nan,7:25 p.m.,7:25 p.m.
182,flightwise,AA-1640-MIA-MCO,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
183,flylouisville,AA-1640-MIA-MCO,nan,6:30 p.m.,7:25 p.m.,7:25 p.m.
184,flytecomm,AA-#1640-MIA-MC??O,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
185,foxbusiness,AA-1640-MIA-MCO,6:30 p.m.,6:30 p.m.,nan,7:25 p.m.
186,gofox,AA-1640-MIA-MCO,6:30 p.m.,6:30 p.m.,7:25 p.m.,nan
187,helloflight,AA-1640-MIA-MCO,nan,6:30 p.m.,7:25 p.m.,7:??25 p@@.m.
188,mco,AA-1640-MIA-MCO,nan,6:30 p.m.,7:25 p.m.,7:25 p.m.
189,myrateplan,AA-1640-MIA-MCO,6:30 p.m.,6:30 p.m.,nan,7:25 p.m.
190,mytripandmore,AA-1640-MIA-MCO,6:30 p.m.,%6:3@@0 p.m.,7:25 p.m.,7:25 p.m.
191,orbitz,AA-1640-MIA-MCO,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
192,panynj,AA-1640-MIA-MC%O,6:30 p.m.,nan,7:25 p.m.,7:25 p.m.
193,quicktrip,nan,6:30 p.m.,6:30 p.m.,7#:2??5 p.m.,7:25 p.m.
194,travelocity,AA-1640-MIA-MCO,6:30 p.m.,nan,7:25 p.m.,7:25 p.m.
195,usatoday,AA-1640-MIA-MCO,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
196,weather,AA-1640-MIA-MCO,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
197,world-fli%ght-tracker,AA-1640-MIA-MCO,6:30 p.m.,6:30 p.m.,7:25 p.m.,nan
198,wunderground,AA-1640-MIA-MCO,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
199,nan,nan,10:15 a.m.,nan,nan,11:56 a.m.
200,airtravelcenter,AA-1664-MIA-ATL,10:15 a.m.,10:18 a.m.,12:10 p.m.,11:56 a.m.
201,nan,AA-1664-MIA-ATL,10:15 a.m.,nan,12:10 $p.m.,11:56 a.m.
202,boston,AA-1664-MIA-ATL,10:15 a.m.,10:#18 a.m.,12:10 p.m.,11:56 a.m.
203,businesstravellogue,AA-1664-MIA-ATL,10:15 a.m.,10:18 a.m.,12:10 p.m.,11:56 a.m.
204,nan,AA-1664-MIA-ATL,10:15 a.m.,10:18 a.m.,12:10 p.m.,nan
205,flightaware,AA-1664-MIA-ATL,10:15 a.m.,nan,12:10 p.m.,nan
206,flightexplorer,nan,nan,nan,12:10 p.m.,11:56 a.m.
207,flights,AA-1664-MIA-ATL,nan,10:18 a.m.,12:10 p.m.,nan
208,flightstats,AA-1664-MIA-ATL,10:15 a.??m.,10:18 a.m.,12:10 p.m.,nan
209,flightview,AA-1664-MIA-ATL,nan,10:18 a.m.,12:10 p.m.,11:56 a.m.
210,flylouisville,AA-1664-MIA-ATL,10:15 a.m.,10:18 a.m.,12:10 p.m.,11:56 a@@.m.
211,flytecomm,nan,10:15 a.m.,10:18 a.m.,12:10 %p.m@@.,11:56 a.m.
212,foxbusiness,nan,10:15 a.m.,10:18 a.m.,12:10 p.m.,nan
213,gofox,AA-1664-MIA-ATL,10:15 a.m.,10:18 a.m.,12:10 p.m.,nan
214,helloflight,AA-1664-MIA-ATL,10:15 a.m.,10:18 a.m.,12:10 p.m.,11:56 a.m.
215,myrateplan,AA-1664-MIA-ATL,10:15 a.m.,10:18 a.m.,nan,11:56 a.m.
216,mytripandmore,AA-1664-MIA-ATL,10:15 a.m.,10:18 a.m.,12:10 p.m.,nan
217,nan,AA-1664-MIA-ATL,1@@0:15 a.m.,10:18 a.m.,12:10 p.m.,nan
218,panynj,AA-1664-MI??A-ATL,10:15 a.m.,10:18 a.m.,12:10 p.m.,11:#56 a.$m.
219,quicktrip,nan,10:15 a.m.,10:18 a.m.,12:10 p.m.,11:56 a.m.
220,travelocity,nan,nan,10:18 a.m.,12:10 p.m.,11:56 $a.m.
221,usatoday%,AA-1664-MIA-ATL,10:15 a.m.,10:18 a.m.,12:10 p.m.,11:56 a.m.
222,weather,AA-1664-MIA-ATL,10:15 a.m.,10:18 a.m.,12:10 p.m.,11:56 a.m.
223,world-flight-tracker,AA-1664-MIA-ATL,10:15 a.m.,nan,12:10 p.m.,11:56 a.m.
224,wunderground,nan,10:15 a.m.,nan,nan,11:56 a.m.
225,aa,AA-1733-ORD-PHX,7:45 p.m.,nan,10:30 p.m.,10:30 p.m.
226,airtravelcenter,AA-1733-ORD-PHX,7:45 p.m.,7:58 p.m.,10:30 p.m.,10:30 p.m.
227,nan,nan,nan,nan,10:30 p.m.,10:30 p.m.
228,boston,AA-1733-??@@ORD-PHX,7:45 p.m.,7@@:5%8 p.m.,10:30 p.m.,nan
229,busin%esstr$avellogue,AA-1733-ORD-PHX,7:45 p.m.,7:58 p.m.,10:30 p.m.,10:30 p.m.
230,flightaware,AA-1733-ORD-PHX,nan,7:58 p.m.,10:30 p.m.,10:30 p.m.
231,flightexplorer,AA-1733-ORD-PHX,7:45 p.m.,7:58 p.%m.,10:30 p.m.,10:30 p.m.
232,nan,nan,nan,7:58 p.m.,10:30 p.m.,10:30 p.m.
233,fl%ightstats,nan,7:45 p.m.,7:58 p.m.,10:30 p.m.,10:30 p.m.
234,flightview,AA-1733-ORD-PHX,7:45 p.m.,7:58 p.m.,10:30 p.m.,10:30 p.m.
235,flylouisville,AA-1733-ORD-PHX,7:45 p.m.,nan,10:30 p.m.,10:30 p.m.
236,flytecomm,AA-1733-ORD-PHX,7:45 p.m.,nan,10:30 p.m.,10:30 p.m.
237,nan,AA-1733-ORD-PHX,7:45 p.m.,7:58 p.m.,10:30 p.m.,10:30 p.m.
238,gofox,AA-1733-ORD-PHX,7:45 p.m.,nan,10:30 p.m.,nan
239,helloflight,AA-1733-ORD-PHX,7:45 p.m.,7:58 p.m.,10:30 p.m.,10:30 p.m.
240,ifly,AA-1733-ORD-PHX,7:45 p.m.,7$:58 $p.m.,nan,10:30 p.m.
241,myrateplan,nan,7:45 p.m.,7:58 p.m.,nan,nan
242,mytripandmore,AA-1733-ORD-PHX,7:45 p.m.,7:58 p.m.,10:30 p.m.,10:30 p.m.
243,nan,AA-1733-ORD-P??HX#,7:45 p.m.,7:5$$8 p.m.,10:30 p.m.,10:30 p.m.
244,ord,AA-1733-ORD-PHX,nan,nan,10:30 p.m.,10:30 p.m.
245,panynj,AA-1733-ORD-PHX,7:45 p.m.,nan,10:30 p.m.,10@@:30 p.m.
246,quicktrip,AA-1733-ORD-PHX,7:45 p.m.,7:58 p.m.,10:30 p.m.,%10:30 p.m.
247,travelocity,AA-1733-ORD-PHX,7:45 p.m.,7:58 p.m.,10:30 p.m.,10:30 p.m.
248,usatoday,AA-1733-ORD-PHX,7:45 p.m.,nan,10:30 p.m.,10:30 p.m.
249,nan,nan,nan,nan,10:30 p.m.,10:30 p.m.
250,world-flight-tracker,AA-1733-ORD-PHX,nan,7:58 p.m.,10:30 p.m.,10:30 p.m.
251,wunderground,AA-173%3-ORD-PHX%,nan,7:58 p.m.,10:30 p.m.,nan
252,aa,AA-1886-BOS-MIA,10:45 a.m.,10:55 a.m.,nan,1:40 p.m.
253,airtravelcenter,AA-1886-BOS-MIA,10:45 a.m.,10:55 a.m.,2:20 p.m.,1:40 p.m.
254,nan,AA-1886-BOS-MIA,10:45 a.m.,10:55 a.m.,2:20 p.m.,1:40 p.m.
255,boston,AA-1886-BOS-MIA,10:45 a.m.,10:55 a.m.,2:20 p.m.,1:40 p.m.
256,businesstravellogue,nan,10:45 a.m.,10:55 a.m.,2:20 p.m.,nan
257,nan,nan,10:45 a.m.,10:55 a.m.,2:20 p.m.,1:40 p.m.
258,flights,AA-1886-BOS-MIA,10:45 a.m.,@@10:55 a.m??.,2:20 p.m.,1:40 p.m.
259,nan,AA-1886-BOS-MIA,10:45 a.m.,10:55 a.m.,2:20 p.m.,1:40 p.m.
260,flylouisville,AA-1886-BOS-MIA,nan,10:55 a.m.,2:20 p.m.,1:40 p.m.
261,flytecomm,AA-1886-BOS-MIA,nan,10:55 a.m.,2:20 p.m.,1:40 p.m.
262,fo#@@xbusiness,AA-1886-BOS-MIA,10:45 a.m.,10:55 a.m.,2:20 p.m.,nan
263,gofox,nan,10:45 a.m.,10:55 a.m.,2:20 p.m.,1:40 p.m.
264,helloflight,AA-1886%-BOS-MIA,10:45 a.m.,nan,2:20 p.m.,1:40 p.m.
265,myrateplan,AA-1886-BOS-MIA,10:45 a.m.,nan,2:20 p.m.,1:40 p.m.
266,orbitz,AA-1886-BOS-MIA,10:45 a.m.,10:55 a.m.,2:20 p.m.,nan
